codice;descrizione;marchio;denominazione;regione;vitigno;filosofia;CAPACITA;GRADO_ALC;FAMIGLIA;classe;PREZZO
37666;Antica Fratta Essence Noir Extra Brut Millesimato Franciacorta DOCG;Antica Fratta;Franciacorta DOCG;LOMBARDIA;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Blanc de Noir;20,701
37667;Antica Fratta Essence Ros� Brut Millesimato Franciacorta DOCG;Antica Fratta;Franciacorta DOCG;LOMBARDIA;Pinot Nero;Tradizionale;75;13%;Bollicine;Ros�;21,627
37668;Marchesi Antinori Castello della Sala San Giovanni della Sala Orvieto DOC Classico Superiore;Antinori - Castello della Sala;Orvieto Doc;UMBRIA;Grechetto;Tradizionale;75;12,50%;Vini;Bianco;13,06
37669;Marchesi Antinori Castello della Sala Bramito della Sala Chardonnay Umbria IGT;Antinori - Castello della Sala;Umbria IGT;UMBRIA;Chardonnay;Tradizionale;75;12,50%;Vini;Bianco;15,977
37670;Marchesi Antinori Castello della Sala Cervaro della Sala Chardonnay Umbria IGT;Antinori - Castello della Sala;Umbria IGT;UMBRIA;Chardonnay;Tradizionale;75;13%;Vini;Bianco;52,193
37671;Marchesi Antinori Castello della Sala Pinot Nero della Sala Umbria IGT;Antinori - Castello della Sala;Umbria IGT;UMBRIA;Pinot Nero;Tradizionale;75;14,50%;Vini;Rosso;45,293
37672;Marchesi Antinori Castello della Sala Muffato della Sala Umbria IGT;Antinori - Castello della Sala;Umbria IGT;UMBRIA;Sauvignon Blanc;Tradizionale;50;13%;Vini;Dolce;31,214
37673;Marchesi Antinori Castello della Sala Conte della Vipera Umbria IGT;Antinori - Castello della Sala;Umbria IGT;UMBRIA;Sauvignon Blanc;Tradizionale;75;12,50%;Vini;Bianco;21,905
37674;Marchesi Antinori La Braccesca Achelo Syrah Cortona Rosso DOC;Antinori - La Braccesca;Cortona DOC;TOSCANA;Syrah;Tradizionale;75;14%;Vini;Rosso;11,439
37675;Marchesi Antinori Le Mortelle Botrosecco  Maremma Toscana Cabernet DOC;Antinori - Le Mortelle;Maremma Toscana DOC;TOSCANA;Cabernet Sauvignon;Tradizionale;75;14%;Vini;Rosso;16,487
37676;Marchesi Antinori P�ppoli Chianti Classico DOCG;Antinori - Peppoli;Chianti Classico DOCG;TOSCANA;Sangiovese;Tradizionale;75;13,50%;Vini;Rosso;13,06
37677;Marchesi Antinori Pian delle Vigne Brunello di Montalcino DOCG;Antinori - Pian delle Vigne;Brunello di Montalcino DOCG;TOSCANA;Sangiovese;Tradizionale;75;14%;Vini;Rosso;41,032
37678;Marchesi Antinori Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva DOCG;Antinori - Pian delle Vigne;Brunello di Montalcino DOCG;TOSCANA;Sangiovese;Tradizionale;75;14,50%;Vini;Rosso;95,216
37679;Marchesi Antinori Pian delle Vigne Rosso di Montalcino DOC;Antinori - Pian delle Vigne;Rosso di Montalcino DOC;TOSCANA;Sangiovese;Tradizionale;75;14%;Vini;Rosso;17,367
37680;Prunotto Moscato d'Asti DOCG;Antinori - Prunotto;Asti DOCG;PIEMONTE;Moscato Bianco;Tradizionale;75;5%;Vini;Dolce;9,725
37681;Prunotto Bric Turot Barbaresco DOCG Cassetta di Legno;Antinori - Prunotto;Barbaresco DOCG;PIEMONTE;Nebbiolo;Tradizionale;75;13,50%;Vini;Rosso;38,809
37682;Prunotto Barbaresco DOCG;Antinori - Prunotto;Barbaresco DOCG;PIEMONTE;Nebbiolo;Tradizionale;75;13,50%;Vini;Rosso;26,953
37683;Prunotto Secondine Barbaresco DOCG;Antinori - Prunotto;Barbaresco DOCG;PIEMONTE;Nebbiolo;Tradizionale;75;14%;Vini;Rosso;58,816
37684;Prunotto Barbera d'Alba DOC;Antinori - Prunotto;Barbera d'Alba DOC;PIEMONTE;Barbera;Tradizionale;75;14%;Vini;Rosso;12,273
37685;Prunotto Barolo DOCG;Antinori - Prunotto;Barolo DOCG;PIEMONTE;Nebbiolo;Tradizionale;75;13,50%;Vini;Rosso;34,502
37686;Prunotto Dolcetto d'Alba DOC;Antinori - Prunotto;Dolcetto d'Alba DOC;PIEMONTE;Dolcetto;Tradizionale;75;13,50%;Vini;Rosso;10,605
37687;Prunotto Mosesco Dolcetto d'Alba DOC;Antinori - Prunotto;Dolcetto d'Alba DOC;PIEMONTE;Dolcetto;Tradizionale;75;13,50%;Vini;Rosso;11,439
37688;Marchesi Antinori Santa Cristina Fattoria Le Maestrelle Toscana IGT;Antinori - Santa Cristina;Toscana IGT;TOSCANA;Sangiovese;Tradizionale;75;13,50%;Vini;Rosso;8,012
37689;Marchesi Antinori Santa Cristina Cipresseto Rosato Toscana IGT;Antinori - Santa Cristina;Toscana IGT;TOSCANA;Sangiovese;Tradizionale;75;11,50%;Vini;Rosato;6,021
37690;Marchesi Antinori Santa Cristina Rosato Toscana IGT;Antinori - Santa Cristina;Toscana IGT;TOSCANA;Sangiovese;Tradizionale;75;11%;Vini;Rosato;5,372
37691;Marchesi Antinori Santa Cristina Capsula Viola Chardonnay;Antinori - Santa Cristina;Vino Bianco d'Italia;TOSCANA;Chardonnay;Tradizionale;75;10,50%;Vini;Bianco;5,557
37692;Marchesi Antinori Tenuta Guado al Tasso Scalabrone Bolgheri Rosato DOC;Antinori - Tenuta Guado al Tasso;Bolgheri DOC;TOSCANA;Cabernet Sauvignon;Tradizionale;75;12,50%;Vini;Rosato;11,995
37693;Marchesi Antinori Tenuta Guado al Tasso Il Bruciato Bolgheri Rosso DOC;Antinori - Tenuta Guado al Tasso;Bolgheri DOC;TOSCANA;Cabernet Sauvignon;Tradizionale;75;13%;Vini;Rosso;21,118
37694;Marchesi Antinori Tenuta Guado al Tasso Il Bruciato Bolgheri Rosso DOC J�roboam;Antinori - Tenuta Guado al Tasso;Bolgheri DOC;TOSCANA;Cabernet Sauvignon;Tradizionale;300;13%;Vini;Rosso;103,46
37695;Marchesi Antinori Tenuta Guado al Tasso Cont'Ugo Bolgheri DOC;Antinori - Tenuta Guado al Tasso;Bolgheri DOC;TOSCANA;Merlot;Tradizionale;75;14,50%;Vini;Rosso;38,022
37696;Marchesi Antinori Tenuta Guado al Tasso Vermentino Bolgheri DOC;Antinori - Tenuta Guado al Tasso;Bolgheri DOC;TOSCANA;Vermentino;Tradizionale;75;13%;Vini;Bianco;12,921
37697;"Marchesi Antinori Tenuta Guado al Tasso ""Guado al Tasso 2017"" Bolgheri Superiore DOC";Antinori - Tenuta Guado al Tasso;Bolgheri Superiore DOC;TOSCANA;Cabernet Sauvignon;Tradizionale;75;14%;Vini;Rosso;94,383
37698;"Marchesi Antinori Tenuta Guado al Tasso ""Guado al Tasso 2018"" Bolgheri Superiore DOC";Antinori - Tenuta Guado al Tasso;Bolgheri Superiore DOC;TOSCANA;Cabernet Sauvignon;Tradizionale;75;14%;Vini;Rosso;88,455
37699;Marchesi Antinori Tenuta Monteloro Scabrezza Toscana Bianco IGT;Antinori - Tenuta Monteloro;Toscana IGT;TOSCANA;Pinot Bianco;Tradizionale;75;12%;Vini;Bianco;9,401
37700;Marchesi Antinori Tenuta Monteloro Mezzo Braccio Toscana Bianco IGT;Antinori - Tenuta Monteloro;Toscana IGT;TOSCANA;Riesling Renano;Tradizionale;75;13,50%;Vini;Bianco;19,868
37701;Marchese Antinori Tenuta Montenisa Donna Cora Sat�n Brut Millesimato Franciacorta DOCG;Antinori - Tenuta Montenisa;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Noir;30,38
37702;Marchese Antinori Tenuta Montenisa Cuv�e Royale Brut Franciacorta DOCG;Antinori - Tenuta Montenisa;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;12,50%;Bollicine;;21,952
37703;Marchese Antinori Tenuta Montenisa Blanc de Blancs Brut Franciacorta DOCG;Antinori - Tenuta Montenisa;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;12,50%;Bollicine;;24,452
37704;Marchese Antinori Tenuta Montenisa Ros� Brut Franciacorta DOCG;Antinori - Tenuta Montenisa;Franciacorta DOCG;LOMBARDIA;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Ros�;26,675
37705;Marchesi Antinori Tenuta Tignanello Chianti Classico DOCG Riserva ;Antinori - Tenuta Tignanello;Chianti Classico DOCG;TOSCANA;Sangiovese;Tradizionale;75;14%;Vini;Rosso;27,833
37706;Marchesi Antinori Tenuta Tignanello Solaia 2017 Rosso Toscana IGT ;Antinori - Tenuta Tignanello;Toscana IGT;TOSCANA;Cabernet Sauvignon;Tradizionale;75;14%;Vini;Rosso;260,363
37707;"Marchesi Antinori Tenuta Tignanello ""Tignanello"" 2018 Rosso Toscana IGT";Antinori - Tenuta Tignanello;Toscana IGT;TOSCANA;Sangiovese;Tradizionale;75;14%;Vini;Rosso;131,015
37708;Tormaresca Bocca di Lupo Aglianico Castel del Monte DOC;Antinori - Tormaresca;Castel del Monte DOC;PUGLIA;Aglianico;Tradizionale;75;14,50%;Vini;Rosso;48,164
37709;Tormaresca Trentangeli Castel del Monte Rosso DOC;Antinori - Tormaresca;Castel del Monte DOC;PUGLIA;Aglianico;Tradizionale;75;14,50%;Vini;Rosso;15,144
37710;Tormaresca Pietrabianca Castel del Monte Chardonnay DOC;Antinori - Tormaresca;Castel del Monte DOC;PUGLIA;Chardonnay;Tradizionale;75;12,50%;Vini;Bianco;18,2
37711;Tormaresca Pietrabianca Castel del Monte Chardonnay DOC Magnum Cassetta di Legno;Antinori - Tormaresca;Castel del Monte DOC;PUGLIA;Chardonnay;Tradizionale;150;12,50%;Vini;Bianco;41,958
37712;Tormaresca Kaloro Passito Dolce Naturale Moscato di Trani DOC;Antinori - Tormaresca;Moscato di Trani DOC;PUGLIA;Moscato Reale;Tradizionale;37,5;10%;Vini;Dolce;19,034
37713;Tormaresca Carrubo Primitivo di Manduria DOC Magnum Cassetta di Legno;Antinori - Tormaresca;Primitivo di Manduria DOC;PUGLIA;Primitivo di Manduria;Tradizionale;150;15,50%;Vini;Rosso;84,287
37714;Tormaresca Carrubo Primitivo di Manduria DOC;Antinori - Tormaresca;Primitivo di Manduria DOC;PUGLIA;Primitivo di Manduria;Tradizionale;75;15,50%;Vini;Rosso;37,698
37715;Tormaresca Neprica Cabernet Sauvignon Puglia IGT;Antinori - Tormaresca;Puglia IGT;PUGLIA;Cabernet Sauvignon;Tradizionale;75;14,50%;Vini;Rosso;6,206
37716;Tormaresca Chardonnay Puglia IGT Cl. 37,5;Antinori - Tormaresca;Puglia IGT;PUGLIA;Chardonnay;Tradizionale;37,5;12%;Vini;Bianco;3,936
37718;Tormaresca Neprica Negroamaro Puglia IGT;Antinori - Tormaresca;Puglia IGT;PUGLIA;Negroamaro;Tradizionale;75;14%;Vini;Rosso;6,345
37719;Tormaresca Neprica Primitivo Puglia IGT Cl. 37,5;Antinori - Tormaresca;Puglia IGT;PUGLIA;Primitivo;Tradizionale;37,5;14,50%;Vini;Rosso;3,89
37721;Tormaresca Roycello Fiano Salento IGT;Antinori - Tormaresca;Salento IGT;PUGLIA;Fiano;Tradizionale;75;12,50%;Vini;Bianco;10,096
37722;Tormaresca Calafuria Rosato Negroamaro Salento IGT Magnum;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;150;12%;Vini;Rosato;21,072
37723;Tormaresca Calafuria Rosato Negroamaro Salento IGT Magnum Cassetta di Legno;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;150;12%;Vini;Rosato;22,368
37724;Tormaresca Calafuria Rosato Negroamaro Salento IGT Cl. 37,5;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;37,5;12%;Vini;Rosato;6,252
37725;Tormaresca Masseria Maime Negroamaro Salento IGT;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;14,50%;Vini;Rosso;21,072
37726;Tormaresca Furia di Calafuria Rosato Salento IGT Magnum Cassetta di Legno;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;150;12,50%;Vini;Rosato;47,84
37727;Tormaresca Furia di Calafuria Rosato Salento IGT;Antinori - Tormaresca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12,50%;Vini;Rosato;21,072
37728;Tormaresca Torcicoda Salento Primitivo IGT;Antinori - Tormaresca;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;15%;Vini;Rosso;13,106
37729;Tormaresca Torcicoda Salento Primitivo IGT Magnum Cassetta di Legno;Antinori - Tormaresca;Salento IGT;PUGLIA;Primitivo;Tradizionale;150;15%;Vini;Rosso;30,38
37730;Marchesi Antinori Villa Antinori Rosso Toscana IGT;Antinori - Villa Antinori;Toscana IGT;TOSCANA;Sangiovese;Tradizionale;75;14%;Vini;Rosso;13,106
37731;Marchesi Antinori Villa Antinori Bianco Toscana IGT;Antinori - Villa Antinori;Toscana IGT;TOSCANA;Trebbiano Toscano;Tradizionale;75;12%;Vini;Bianco;8,382
37732;Marchesi Antinori Vin Santo Del Chianti Classico DOC;Antinori - Villa Antinori;Vin Santo Del Chianti Classico DOC;TOSCANA;Trebbiano Toscano;Tradizionale;50;13%;Vini;Dolce;24,545
37733;Attems Cleve Cabernet Collio DOC;Attems - Frescobaldi;Collio DOC;FRIULI VENEZIA GIULIA;Cabernet Franc;Tradizionale;75;13%;Vini;Rosso;10,791
37734;Attems Merlot Collio DOC ;Attems - Frescobaldi;Collio DOC;FRIULI VENEZIA GIULIA;Merlot;Tradizionale;75;13%;Vini;Rosso;7,41
37735;Attems Picolit Passito Collio DOC Cl.50;Attems - Frescobaldi;Collio DOC;FRIULI VENEZIA GIULIA;Picolit;Tradizionale;50;12,50%;Vini;Dolce;19,127
37736;Attems Trebes Ribolla Gialla Collio DOC;Attems - Frescobaldi;Collio DOC;FRIULI VENEZIA GIULIA;Ribolla Gialla;Tradizionale;75;13%;Vini;Bianco;10,929
37737;Attems Cicinis Sauvignon Blanc Collio DOC;Attems - Frescobaldi;Collio DOC;FRIULI VENEZIA GIULIA;Sauvignon Blanc;Tradizionale;75;13%;Vini;Bianco;17,274
37738;Attems Pinot Grigio Friuli DOC;Attems - Frescobaldi;Friuli DOC;FRIULI VENEZIA GIULIA;Pinot Grigio;Tradizionale;75;12,50%;Vini;Bianco;8,058
37739;Attems Pinot Grigio Ramato Friuli DOC;Attems - Frescobaldi;Friuli DOC;FRIULI VENEZIA GIULIA;Pinot Grigio;Tradizionale;75;12,50%;Vini;Rosato;8,058
37740;Attems Chardonnay Venezia Giulia IGT;Attems - Frescobaldi;Venezia Giulia IGT;FRIULI VENEZIA GIULIA;Chardonnay;Tradizionale;75;12,50%;Vini;Bianco;8,058
37741;Attems Ribolla Gialla Venezia Giulia IGT;Attems - Frescobaldi;Venezia Giulia IGT;FRIULI VENEZIA GIULIA;Ribolla Gialla;Tradizionale;75;12,50%;Vini;Bianco;8,058
37742;Attems Sauvignon Blanc Venezia Giulia IGT;Attems - Frescobaldi;Venezia Giulia IGT;FRIULI VENEZIA GIULIA;Sauvignon Blanc;Tradizionale;75;12,50%;Vini;Bianco;8,058
